id,title,profession_id,organizer,description,address,latitude,longitude,date,time,salary,contact_email,contact_phone,type,min_experience,max_experience,required_skills,status,is_featured,image_url,registration_url,posted_date,end_date,seats,fee,rating,reviews,eligibility,website,duration,notes,preference,tags,created_by,last_updated,gender_preference,min_age,max_age,application_deadline,organizer_avatar,audience,source,certificate,additional_info,is_active,is_online,clicks,views
1,Advanced Photoshop Workshop,3,CreativeHub,Learn Photoshop basics and advanced techniques,123 Main St,12.9716,77.5946,2025-11-10,10:00 AM,5000,info@creativehub.com,9876543210,Workshop,0,5,Photoshop,Open,Yes,https://img1.url,https://register1.url,2025-10-01,2025-11-10,20,5000,4.5,10+,All,https://creativehub.com,2h,None,None,Photoshop,admin,2025-10-05,None,None,None,avatar1.png,General,Online,None,Extra info,Yes,Yes,50,200
2,Basic Yoga Class,6,YogaLife,Start your yoga journey,Park Street,12.9718,77.5948,2025-11-05,06:00 AM,500,yoga@yogalife.com,9876501234,Workshop,0,0,Yoga,Open,No,https://img2.url,https://register2.url,2025-10-03,2025-11-05,30,500,4.7,25+,All,https://yogalife.com,1h,None,None,Yoga,admin,2025-10-06,None,None,None,avatar2.png,General,Online,None,None,Yes,Yes,35,180
3,Web Development Bootcamp,2,CodeAcademy,Full stack web dev training,Tech Park,12.9720,77.5950,2025-11-20,09:00 AM,10000,contact@codeacademy.com,9876543211,Workshop,0,3,HTML;CSS;JS,Open,Yes,https://img3.url,https://register3.url,2025-10-02,2025-11-20,25,10000,4.6,15+,All,https://codeacademy.com,3h,None,None,Web Dev,admin,2025-10-07,None,None,None,avatar3.png,General,Online,None,Extra info,Yes,Yes,60,220
4,Photography Basics,4,PhotoWorld,Learn DSLR photography,MG Road,12.9730,77.5960,2025-11-12,11:00 AM,3000,info@photoworld.com,9876543212,Workshop,0,2,Photography,Open,No,https://img4.url,https://register4.url,2025-10-04,2025-11-12,15,3000,4.2,12+,All,https://photoworld.com,2h,None,None,Photography,admin,2025-10-08,None,None,None,avatar4.png,General,Online,None,Extra info,Yes,Yes,40,150
5,Graphic Design Masterclass,3,DesignHub,Advanced design techniques,Creative Street,12.9740,77.5970,2025-11-15,02:00 PM,8000,contact@designhub.com,9876543213,Workshop,1,5,Photoshop;Illustrator,Open,Yes,https://img5.url,https://register5.url,2025-10-05,2025-11-15,20,8000,4.8,18+,All,https://designhub.com,3h,None,None,Graphic Design,admin,2025-10-09,None,None,None,avatar5.png,General,Online,None,Extra info,Yes,Yes,55,210
6,Beginner Guitar Lessons,5,MusicAcademy,Learn guitar basics,Music Lane,12.9750,77.5980,2025-11-08,05:00 PM,2000,music@academy.com,9876543214,Workshop,0,1,Guitar,Open,No,https://img6.url,https://register6.url,2025-10-06,2025-11-08,25,2000,4.3,10+,All,https://musicacademy.com,1h,None,None,Guitar,admin,2025-10-10,None,None,None,avatar6.png,General,Online,None,Extra info,Yes,Yes,30,160
7,Culinary Skills Workshop,7,CookMaster,Learn cooking techniques,Food Street,12.9760,77.5990,2025-11-18,03:00 PM,6000,info@cookmaster.com,9876543215,Workshop,0,4,Cooking,Open,Yes,https://img7.url,https://register7.url,2025-10-07,2025-11-18,20,6000,4.5,14+,All,https://cookmaster.com,2h,None,None,Cooking,admin,2025-10-11,None,None,None,avatar7.png,General,Online,None,Extra info,Yes,Yes,45,190
8,Advanced Excel Training,10,DataExperts,Master Excel formulas,Tech Tower,12.9770,77.6000,2025-11-22,10:00 AM,4000,info@dataexperts.com,9876543216,Workshop,1,3,Excel,Open,No,https://img8.url,https://register8.url,2025-10-08,2025-11-22,20,4000,4.6,12+,All,https://dataexperts.com,2h,None,None,Excel,admin,2025-10-12,None,None,None,avatar8.png,General,Online,None,Extra info,Yes,Yes,35,170
9,AI & ML Intro,33,TechWorld,Intro to AI & ML,Innovation Hub,12.9780,77.6010,2025-11-25,09:00 AM,12000,contact@techworld.com,9876543217,Workshop,0,3,AI;ML,Open,Yes,https://img9.url,https://register9.url,2025-10-09,2025-11-25,25,12000,4.7,20+,All,https://techworld.com,3h,None,None,AI,admin,2025-10-13,None,None,None,avatar9.png,General,Online,None,Extra info,Yes,Yes,60,230
10,Voiceover Training,25,VoiceHub,Learn voiceover techniques,Studio Street,12.9790,77.6020,2025-11-14,11:00 AM,3500,info@voicehub.com,9876543218,Workshop,0,2,Voiceover,Open,No,https://img10.url,https://register10.url,2025-10-10,2025-11-14,15,3500,4.4,8+,All,https://voicehub.com,2h,None,None,Voiceover,admin,2025-10-14,None,None,None,avatar10.png,General,Online,None,Extra info,Yes,Yes,25,140
11,Dance Fitness Bootcamp,8,DanceLife,Cardio dance sessions,Dance Hall,12.9800,77.6030,2025-11-16,07:00 AM,3000,info@dancelife.com,9876543219,Workshop,0,3,Dance,Open,Yes,https://img11.url,https://register11.url,2025-10-11,2025-11-16,25,3000,4.5,15+,All,https://dancelife.com,2h,None,None,Dance,admin,2025-10-15,None,None,None,avatar11.png,General,Online,None,Extra info,Yes,Yes,35,180
12,Public Speaking Seminar,9,SpeakUp,Improve public speaking skills,Auditorium,12.9810,77.6040,2025-11-19,04:00 PM,2000,info@speakup.com,9876543220,Workshop,0,5,Communication,Open,No,https://img12.url,https://register12.url,2025-10-12,2025-11-19,30,2000,4.3,10+,All,https://speakup.com,3h,None,None,Speaking,admin,2025-10-16,None,None,None,avatar12.png,General,Online,None,Extra info,Yes,Yes,40,170
13,Creative Writing Workshop,11,WriteNow,Enhance writing skills,Library,12.9820,77.6050,2025-11-21,03:00 PM,2500,info@writenow.com,9876543221,Workshop,0,2,Writing,Open,Yes,https://img13.url,https://register13.url,2025-10-13,2025-11-21,20,2500,4.4,12+,All,https://writenow.com,2h,None,None,Writing,admin,2025-10-17,None,None,None,avatar13.png,General,Online,None,Extra info,Yes,Yes,30,160
14,Digital Marketing Crash Course,12,MarketGuru,Learn online marketing,Tech Hub,12.9830,77.6060,2025-11-23,10:00 AM,6000,info@marketguru.com,9876543222,Workshop,1,3,SEO;Social Media,Open,Yes,https://img14.url,https://register14.url,2025-10-14,2025-11-23,25,6000,4.7,18+,All,https://marketguru.com,3h,None,None,Marketing,admin,2025-10-18,None,None,None,avatar14.png,General,Online,None,Extra info,Yes,Yes,55,220
