path_id,career_title,level,skill_name,order,duration_weeks,resources
1,Software Developer,Beginner,HTML/CSS,1,4,"freeCodeCamp,MDN"
2,Software Developer,Beginner,JavaScript,2,6,"Codecademy,JavaScript.info"
3,Software Developer,Intermediate,React,3,8,"Udemy,Scrimba"
4,Data Scientist,Beginner,Python,1,4,"Kaggle,Coursera"
5,Data Scientist,Intermediate,Machine Learning,2,8,"Google ML Crash Course,fast.ai"
6,UI/UX Designer,Beginner,Figma,1,4,"Figma Learn,DesignCourse"
7,UI/UX Designer,Intermediate,User Research,2,5,"Coursera,Interaction Design Foundation"
8,Digital Marketer,Beginner,SEO,1,3,"Google Digital Garage"
9,Digital Marketer,Intermediate,Google Ads,2,5,"Skillshop,Udemy"
10,Graphic Designer,Beginner,Photoshop,1,4,"Adobe Learn"
11,Graphic Designer,Intermediate,Illustrator,2,4,"Adobe Tutorials"
12,Cybersecurity Analyst,Beginner,Networking,1,4,"Cisco Networking Academy"
13,Cybersecurity Analyst,Intermediate,Ethical Hacking,2,8,"EC-Council,TryHackMe"
14,Mechanical Engineer,Beginner,CAD,1,5,"Autodesk Tutorials"
15,Mechanical Engineer,Intermediate,Thermodynamics,2,6,"NPTEL,MIT OpenCourseWare"
16,Teacher,Beginner,Communication,1,3,"Coursera,EdX"
17,Teacher,Intermediate,Educational Psychology,2,5,"NPTEL,LinkedIn Learning"
18,Entrepreneur,Beginner,Finance Basics,1,4,"Coursera,HarvardX"
19,Entrepreneur,Intermediate,Leadership,2,4,"Udemy,Skillshare"
20,Content Writer,Beginner,Creative Writing,1,3,"Coursera,Masterclass"
21,Content Writer,Intermediate,SEO,2,4,"Yoast Academy"
22,HR Manager,Beginner,Communication,1,3,"LinkedIn Learning"
23,HR Manager,Intermediate,Recruitment Strategy,2,5,"Coursera,SHRM"
24,Doctor,Beginner,Medical Fundamentals,1,12,"Coursera,Medscape"
25,Doctor,Intermediate,Clinical Practice,2,24,"NEJM,MedEd Portal"
26,AI Engineer,Beginner,Python,1,8,"Coursera,edX"
27,AI Engineer,Intermediate,Machine Learning,2,12,"Kaggle,DeepLearning.ai"
28,UX Researcher,Beginner,User Interviews,1,6,"Google UX,YouTube"
29,UX Researcher,Intermediate,Prototyping,2,8,"Figma,Adobe XD"
30,Blockchain Developer,Beginner,Solidity,1,8,"Alchemy University,Buildspace"
31,Blockchain Developer,Intermediate,Smart Contracts,2,10,"Dapp University,FreeCodeCamp"
32,Game Designer,Beginner,Unity Basics,1,6,"Unity Learn,Udemy"
33,Game Designer,Intermediate,Game Physics,2,8,"Coursera,Udemy"
34,Marketing Strategist,Beginner,SEO Fundamentals,1,4,"Google Digital Garage"
35,Marketing Strategist,Intermediate,Analytics Tools,2,6,"HubSpot Academy"
36,Photographer,Beginner,Camera Basics,1,3,"Skillshare,YouTube"
37,Photographer,Intermediate,Photo Editing,2,4,"Adobe Lightroom Tutorials"
38,Architect,Beginner,AutoCAD,1,8,"Autodesk Academy"
39,Architect,Intermediate,3D Design,2,10,"SketchUp,Udemy"
40,Data Engineer,Beginner,SQL,1,6,"W3Schools,Mode Analytics"
41,Data Engineer,Intermediate,Data Pipelines,2,8,"Coursera,AWS Academy"
42,Interior Designer,Beginner,Space Planning,1,5,"Skillshare,LinkedIn Learning"
43,Interior Designer,Intermediate,Material Selection,2,6,"Udemy,YouTube"
44,Environmental Scientist,Beginner,Field Sampling,1,6,"Coursera,Earth.org"
45,Environmental Scientist,Intermediate,Data Analysis,2,8,"Excel,SPSS"
46,Event Planner,Beginner,Event Budgeting,1,3,"Coursera,Skillshare"
47,Event Planner,Intermediate,Vendor Management,2,4,"Udemy,LinkedIn"
48,Teacher,Beginner,Lesson Planning,1,4,"Coursera,Google for Education"
49,Teacher,Intermediate,Classroom Management,2,5,"YouTube,Udemy"
50,Robotics Engineer,Beginner,Arduino Programming,1,8,"Arduino.cc,YouTube"
