type_id,type_name,description,strengths,work_style,best_careers
1,Analytical Innovator,Logic-driven problem solver,"Problem-solving,Critical thinking,Attention to detail",Structured with flexibility,"Software Developer,Data Scientist"
2,Creative Visionary,Artistic and imaginative,"Creativity,Visual thinking,Innovation",Flexible and inspiring,"UI/UX Designer,Graphic Designer"
3,Social Connector,Empathetic communicator,"Leadership,Empathy,Negotiation",Collaborative,"Teacher,HR Manager"
4,Strategic Planner,Organized and goal-oriented,"Planning,Decision-making,Leadership",Structured,"Product Manager,Entrepreneur"
5,Curious Researcher,Investigative and methodical,"Observation,Analysis,Patience",Independent,"Data Scientist,Doctor"
6,Hands-on Builder,Practical and mechanical thinker,"Precision,Discipline,Focus",Physical and independent,"Engineer,Technician"
7,Visionary Leader,Inspires and directs teams,"Leadership,Communication,Strategy",Dynamic and people-focused,"Manager,Entrepreneur"
8,Artistic Creator,Expressive and original,"Imagination,Design,Storytelling",Flexible and open-ended,"Content Creator,Artist"
9,Data Detective,Loves patterns and numbers,"Data Analysis,Logic,Mathematics",Structured and curious,"Data Analyst,Economist"
10,Empathic Helper,Values human connection,"Compassion,Listening,Patience",Supportive and social,"Counselor,Social Worker"
11,Tech Enthusiast,Enjoys coding and gadgets,"Problem-solving,Innovation,Focus",Independent,"Software Engineer,AI Developer"
12,Organized Coordinator,Good at managing multiple tasks,"Planning,Time management,Organization",Structured,"Event Manager,Project Manager"
13,Educator,Guides and mentors others,"Teaching,Empathy,Knowledge sharing",Collaborative,"Teacher,Trainer"
14,Innovative Thinker,Loves to experiment and create,"Curiosity,Creativity,Adaptability",Flexible,"Inventor,Designer"
15,Strategic Analyst,Enjoys patterns and data,"Logic,Forecasting,Research",Analytical,"Data Scientist,Financial Analyst"
16,Team Builder,Brings people together,"Communication,Leadership,Empathy",Collaborative,"HR Manager,Community Leader"
17,Adventurous Doer,Prefers hands-on exploration,"Courage,Problem-solving,Adaptability",Dynamic,"Engineer,Technician"
18,Patient Listener,Calm and observant,"Empathy,Observation,Trust-building",Supportive,"Therapist,Counselor"
19,Innovator,Creates new ideas,"Vision,Creativity,Initiative",Flexible,"Product Designer,Entrepreneur"
20,Logical Planner,Focuses on order and reasoning,"Organization,Logic,Detail orientation",Structured,"Project Manager,Analyst"
21,Detail Designer,Perfectionist in aesthetics,"Precision,Creativity,Observation",Focused,"UI/UX Designer,Architect"
22,Strategic Communicator,Influences through ideas,"Writing,Persuasion,Creativity",Dynamic,"Marketer,Writer"
23,Problem Solver,Finds efficient solutions,"Logic,Experimentation,Adaptability",Independent,"Developer,Researcher"
24,Story Teller,Communicates through narratives,"Writing,Imagination,Emotion",Creative,"Content Creator,Filmmaker"
25,Practical Executor,Implements efficiently,"Hands-on,Focus,Execution",Physical,"Technician,Operator"
3,Strategic Thinker,Analytical and goal-oriented,"Planning,Decision Making,Focus",Structured,"Project Manager,Business Analyst"
4,Empathetic Helper,Compassionate and people-focused,"Empathy,Communication,Listening",Collaborative,"Teacher,Social Worker"
5,Innovative Builder,Creative problem-solver,"Design,Engineering,Prototyping",Hands-on,"Product Designer,Mechanical Engineer"
6,Data Detective,Curious and logical,"Analysis,Research,Precision",Independent,"Data Scientist,AI Engineer"
7,Social Leader,Confident and inspiring,"Leadership,Teamwork,Public Speaking",Team-based,"Marketing Strategist,HR Specialist"
8,Visionary Artist,Imaginative and expressive,"Creativity,Storytelling,Design",Free-flowing,"Graphic Designer,Filmmaker"
9,Resilient Performer,Driven and adaptable,"Focus,Endurance,Presentation",Dynamic,"Actor,Event Planner"
10,Inventive Researcher,Explorative and detailed,"Curiosity,Scientific Thinking,Persistence",Methodical,"Research Scientist,Environmental Analyst"
11,Practical Fixer,Hands-on and reliable,"Mechanics,Repair,Problem-solving",Active,"Technician,Engineer"
12,Digital Architect,Systematic and innovative,"Tech Design,Planning,Logic",Autonomous,"Software Developer,Cloud Architect"
13,Human Connector,Engaging and empathetic,"Communication,Negotiation,Relationship Building",Collaborative,"Recruiter,Community Manager"
14,Calm Analyzer,Focused and composed,"Observation,Logic,Consistency",Quiet,"Accountant,Analyst"
15,Adaptive Explorer,Curious and versatile,"Learning,Discovery,Adaptability",Flexible,"Travel Blogger,Photographer"
16,Organized Executor,Efficient and process-driven,"Planning,Time Management,Execution",Structured,"Operations Manager,Admin Lead"
17,Creative Storyteller,Innovative and expressive,"Writing,Design,Imagination",Flexible,"Copywriter,Content Creator"
18,Strategic Planner,Detail-oriented visionary,"Organization,Forecasting,Leadership",Structured,"Business Consultant,Financial Planner"
19,Social Creator,Interactive and expressive,"Networking,Influence,Creativity",Dynamic,"Influencer,Social Media Manager"
20,Precision Engineer,Accurate and systematic,"Math,Design,Analysis",Hands-on,"Robotics Engineer,Mechanical Engineer"
21,Nature Guardian,Responsible and ecological,"Observation,Conservation,Research",Field-based,"Environmental Scientist,Urban Planner"
22,Innovator Technologist,Tech-savvy visionary,"Innovation,AI,Programming",Independent,"AI Engineer,Data Engineer"
23,Kind Caregiver,Patient and supportive,"Empathy,Kindness,Service",Collaborative,"Nurse,Therapist"
24,Logical Producer,Organized and data-minded,"Logic,Systems,Execution",Structured,"Data Analyst,Database Manager"
25,Artful Designer,Expressive and aesthetic-focused,"Creativity,Composition,Attention to Detail",Flexible,"UI/UX Designer,Interior Designer"
27,Independent Researcher,Focused and self-motivated,"Data Analysis,Documentation,Inquiry",Quiet,"Research Scientist,Academician"
