career_id,title,category,description,min_salary,max_salary,growth_rate,remote_work,skills_required,education_level,experience_needed,market_demand,,
1,Software Developer,Tech,Design and build web/mobile apps,600000,1500000,High,Yes,"JavaScript,Python,React",Bachelor,0-2 years,Very High,,
2,Data Scientist,Tech,Analyze and interpret data for insights,800000,2200000,Very High,Yes,"Python,SQL,Machine Learning",Bachelor,1-3 years,High,,
3,UI/UX Designer,Creative,Design engaging and user-friendly interfaces,500000,1200000,High,Yes,"Figma,Design Thinking,Creativity",Bachelor,0-2 years,High,,
4,Graphic Designer,Creative,Create visuals for brands and media,400000,1000000,Medium,Yes,"Photoshop,Illustrator,Canva",Diploma,0-2 years,High,,
5,Digital Marketer,Business,Plan and manage online marketing campaigns,450000,1100000,High,Yes,"SEO,Google Ads,Analytics",Bachelor,1-3 years,Very High,,
6,Content Writer,Creative,Develop blogs and marketing copy,350000,800000,Medium,Yes,"Writing,Research,SEO",Bachelor,0-2 years,High,,
7,Cybersecurity Analyst,Tech,Monitor and secure systems from attacks,700000,1800000,High,Partial,"Network Security,Ethical Hacking,Python",Bachelor,1-3 years,Very High,,
8,Mechanical Engineer,Engineering,Design and test mechanical components,500000,1300000,Medium,No,"CAD,Thermodynamics,Mathematics",Bachelor,0-2 years,Medium,,
9,Electrical Engineer,Engineering,Work with electrical systems and devices,550000,1400000,Medium,No,"Circuit Design,Embedded Systems,CAD",Bachelor,0-2 years,Medium,,
10,Architect,Creative,Plan and design buildings and structures,600000,1500000,Medium,No,"AutoCAD,3D Modelling,Creativity",Bachelor,1-3 years,Medium,,
11,Doctor,Healthcare,Diagnose and treat patients,800000,2500000,Stable,No,"Medical Knowledge,Empathy,Diagnosis",MBBS,3-5 years,High,,
12,Nurse,Healthcare,Assist doctors and provide patient care,400000,800000,Stable,No,"Patient Care,Teamwork,Medical Skills",B.Sc Nursing,0-2 years,High,,
13,Teacher,Education,Teach and guide students academically,300000,800000,Medium,Partial,"Communication,Subject Expertise,Patience",Bachelor,0-2 years,Medium,,
14,Professor,Education,Teach college courses and do research,800000,2000000,High,Partial,"Teaching,Research,Writing",PhD,5+ years,Medium,,
15,Entrepreneur,Business,Build and manage your own startup,Varies,Varies,High,Yes,"Leadership,Finance,Networking",Any,0+ years,High,,
16,HR Manager,Business,Recruit and manage employee relations,600000,1500000,Medium,Partial,"Communication,Recruitment,People Skills",MBA,2-4 years,High,,
17,Product Manager,Business,Oversee product development and strategy,900000,2500000,Very High,Yes,"Agile,Leadership,Market Research",Bachelor,2-5 years,Very High,,
18,Marketing Analyst,Business,Use data to improve marketing results,500000,1200000,High,Yes,"Excel,Google Analytics,SQL",Bachelor,1-3 years,High,,
19,AI Engineer,Tech,Build and optimize AI models,900000,2500000,Very High,Yes,"Python,TensorFlow,Data Science",Bachelor,1-3 years,Very High,,
20,Game Developer,Tech,Create video games using engines like Unity,600000,1600000,High,Yes,"C#,Unity,3D Modelling",Bachelor,0-2 years,High,,
21,UX Researcher,Creative,Study user behavior to improve design,600000,1500000,High,Yes,"User Interviews,Data Analysis,Figma",Bachelor,1-3 years,High,,
22,Environmental Scientist,Science,Research and address environmental issues,500000,1300000,Medium,No,"Data Analysis,Lab Research,Fieldwork",Bachelor,1-3 years,Medium,,
23,Social Worker,Social,Help individuals and communities improve well-being,350000,900000,Medium,Partial,"Empathy,Counseling,Communication",Bachelor,0-2 years,Medium,,
24,Event Manager,Business,Plan and execute events and campaigns,500000,1200000,Medium,Partial,"Organization,Communication,Creativity",Bachelor,1-3 years,Medium,,
